References	244
PART 0 — THE SHAPE OF THE ARGUMENT	13
Preface — the shape of the argument	13
PART I — THE PROCEDURE	15
1. The principles	15
2. The protocols	21
2.1 Channel construction	21
2.2 Admissibility	21
2.3 Cost resolvability	22
2.4 Dilution	22
2.5 Census before search	22
2.6 Declines are recorded	22
2.7 Exhaustive verification where possible	22
2.8 Two independent routes	22
2.9 Refuse rather than coerce	22
2.10 Retrieval	23
2.11 Provenance	23
2.12 Withdrawal	23
2.13 Commit before you look	23
2.14 Compute, then write	23
2.15 Apply P8 to every failure	23
2.15.1 The procedure	23
2.15.2 Worked, on §30.3	24
2.15.3 Why it belongs here rather than among the principles	25
2.16 The grid — the book's method, stated	25
2.16.1 Why this is the method and not a technique	25
2.16.2 And it classifies the whole of Q	25
2.16.3 A reduced question is still open	26
2.17 Triangulation — three results locate a fourth	26
2.17.1 Worked, from §30.3	27
2.17.2 And it is a check as well as a method	27
2.17.3 Why it belongs with the protocols	27
2.18 What is computable, and what is decided	27
2.18.1 The lattice applied to what it cannot compute	28
2.19 What a safe repair requires	29
2.19.1 The register, examined before repairing it	30
2.20 The prime directive — nothing runs unbounded	30
3. The twenty-two prime audits, ordered by what a failure costs	30
3.0 Ten of the twenty-two test the index; twelve test the book	30
2.21 A figure removed must have its data represented another way	32
2.22 A corroborable entry must carry its object, and the object must carry it	34
2.23 A closed index must be stated by its expression, not only by its verdict	34
2.24 Never one heuristic — §2.8, and the one thing it does not say	34
3.1 Why three of the audits were needed	35
3.2 The whitespace clause, and two measurements that were wrong	35
3.3 Exhaustive, and what to do when it is impossible	35
3.4 And two of the audit's own measurements were wrong first	35
3.5 What the figure audit found	36
3.6 Why the REDUNDANCY audit was needed	36
3.7 The precedences, and the certificate for the dimension	37
3.7.1 The twenty-first audit — INPUT	37
3.8 How the set grew, and the two things that held	38
3.9 The audits are run on every output, and the requirement is executable	38
4. The failures of the assistant, and the protocol each one earns	39
5. What the protocols are for	40
PART II — THE LATTICE	42
6. The periodic table is not a closed index	42
6.1 What "the structure admits" means	43
6.1.1 And a known layout costs nothing	44
6.2 It is not a peculiarity of chemistry	44
6.2.1 The nuclide chart's defect, recomputed under variation	46
6.3 The calendar can be repaired, and the repair is instructive	46
6.4 What follows	47
7. The construction of Λ	47
7.1 The constraints, and where each comes from	47
7.2 Every constraint is of one form	48
7.3 Λ is closed	48
7.4 A note on caps	48
8. What Λ is — distributive, modular, Sperner	48
8.1 Distributive	49
8.2 Rank is conserved	49
8.2.1 What it means	49
8.2.2 And it is a cheaper test than §8.1's	49
8.3 Seventeen generators	49
8.4 Sperner, and not symmetric	50
8.5 The constraint graph is a tree	51
8.6 Order dimension	51
9. The arithmetic encoding	52
9.1 Two classical functions appear as lattice quantities	52
9.2 The occupancy measure	52
9.3 The Möbius function in closed form	53
10. The void	54
10.1 What the void is made of	54
10.2 Its size, and its stability	54
10.3 Containment in seven comparisons	55
10.4 The count, with no sieve	55
11. The single expression	55
11.1 In all six languages, and a seventh	55
11.1.1 A seventh, in binary, and it earns its place	56
11.2 And in their combinations	57
11.3 The expression	58
11.4 The shape of the tree	58
11.5 The one coupling, and it is the Pauli principle	58
11.6 The detachable factor	58
11.7 Why a closed expression exists at all	59
11.8 And the rank polynomial says what §8.3 says	59
11.8.1 And F(−1) = 2 has a cause, not a coincidence	59
12. The shape — a cylinder over the transfer	60
12.1 A cylinder, not a Möbius band	60
12.2 "Over ν", not "graded by ν"	61
12.3 One scale, and one exception	61
12.4 The loop closes	61
12.5 What Λ is a property of	61
12.6 The cylinder is a fibration, and its fibres are two-body	62
12.6.1 It does not factorise, and then it does	62
12.6.2 Which names the cylinder	62
12.7 The fibres, in closed form	63
12.7.1 And they are not the same tree	63
12.7.2 A tower of fibrations, terminating in boxes	63
12.8 Five things the fibre table says	63
12.8.1 A Pareto frontier inside the lattice	63
12.8.2 A most-probable transfer	64
12.8.3 An 8-to-3 compression that loses no count	64
12.8.4 Every cross-section is itself a closed, modular lattice	64
12.8.5 Which gives E(X) a local form	64
12.9 Every other shape the lattice contains	64
12.10 An axis the index did not carry, and now does	65
12.10.1 Λ₉, built by the same construction	65
12.10.2 What is still not established	65
12.11 The tower — Λ₉ to Λ₁₃	65
12.11.0 Transitions compose, and the ninth axis is what lets them	66
12.11.0.1 The clock in the constraint — Λ₉'s composition has a direction	67
12.11.0.2 The clock is an assumption, and the assumption can be removed	68
12.11.0.3 Every second bridge, priced	69
12.11.0.4 The separation hypothesis, named	70
12.11.0.5 What the cycle costs propagation — Q item O, closed	70
12.11.0.6 The earlier bound on the core, tested — Q item K, closed	71
12.11.0.7 Why the arrows agree — a decay theorem	71
12.11.0.8 Past, present and future — a path, not a triangle	72
12.11.0.9 Two indices, and the one that does not exist	73
12.11.0.10 Every Λ in one table	73
12.11.0.11 The fourteenth axis, and what can be said about it from inside	74
12.11.0.12 How an index enters a larger index, and what it looks like from there	75
12.11.1 The axes, and what each one sees	75
12.11.1.1 The eleventh axis's density, computed under variation	78
12.11.1.2 The conservative share, recomputed under variation	78
12.11.1.3 An index has a time column exactly when its cells are moves	79
12.11.1.4 Composability up the tower, and what stops it	79
12.11.1.5 The non-composable cells, defined	80
12.11.1.6 The periodic table's own numbers, and where a transition may be continued	81
12.11.1.7 And the selection rules decide which side of the atom a transition can continue on	81
12.11.2 Three excluded forms, and the fold has a name	82
12.11.3 The dichotomy	82
12.11.3.1 Where each bound comes from, and why 9, 10 and 11 differ	82
12.11.4 Precision is path-dependent; physics is not	83
12.11.5 The shape survives, and it has a boundary	84
12.11.6 An index whose one prediction is false, and why that is a result	84
12.11.7 What the tower leaves open	85
13. What the title names	85
12.11.8 The electromagnetic index, and it was inside Λ all along	85
13.1 Why that ordering and not the other	87
13.2 The cells are transitions, not states	87
13.3 Which is why "index of transitions"	87
13.4 And what the cylinder does not carry	88
PART III — THE LAW	89
14. Closure	89
14.1 The characterisation	89
14.2 R is a closure operator	89
14.3 The scope, stated exactly	89
14.4 The three consequences	90
14.5 The family of all closed sets	90
14.5.1 Λ is the closure of seven cells	90
14.5.2 The seed, and the expression of the cycle	91
14.5.3 Two pairwise operators, and this book has used one name for both	91
14.5.4 What E measures, exactly	91
14.5.5 ℛ₄ — the four orientations, adopted	91
14.5.6 What the second operator localises, and what it leaves undetermined	91
14.5.7 The seed is constructible, and it is a size rather than a set	91
14.5.8 The seed is linear in dimension, and the coefficient was in the bibliography	91
14.5.9 Never one heuristic — and the seed of Λ, exactly	93
14.5.10 A stable core of four, and it is NOT necessary	94
14.5.11 The completions are a heavy-tailed redundancy, not a tie	94
14.5.12 What every minimum seed contains, and what fills each position	95
14.5.13 The fifth position, defined exactly	95
14.5.14 And the five read as binary	95
14.6 The family of closed indexes is open	96
14.6.1 Why it cannot be stated	96
14.6.2 The defect is exact, and the closure is everything	96
14.6.3 What the register now holds, and what it does not	97
14.6.4 The seventeen, and what each is waiting on	98
14.6.5 Five of the modular six, verified against the sources	98
14.6.6 Two of the violation six were never blocked, and §10.1 speaks a retired language	99
15. Self-reference — alphabet, order, bounds	100
15.1 S1 — the alphabet	100
15.2 S3 — the bounds	100
15.3 S2 — the order, which is the hard one	101
15.4 What does work above d = 2: propagation along the tree	101
15.5 So: Λ contains its own order	102
16. Self-defence — data, derivation, totality	102
16.1 The counting argument	102
16.2 The split, and it is canonical	102
16.3 D1 — D_phys catches a wrong value in the data	102
16.3.1 The D1 tripwire, specified in full and needing no data	103
16.4 D2 — D_def catches a wrong derivation, but only under two	103
16.4.1 And the counting argument has a 1960 precedent	104
16.5 D3 — totality catches a missing value	104
16.5.1 And totality extends beyond the data	105
16.6 The defences are disjoint, and there are six	105
16.6.1 The vocabulary of reference, as an index	106
16.6.2 And one coordinate sits below this book's own floor	106
16.7 Two kinds of absence, and one kind of lie	107
16.7.1 A missing cell — and the index can tell whether the gap is real	107
16.7.2 A complete index of something that is not there	107
16.7.3 The plain version	108
16.7.4 Which is what D_phys is for, and only that	108
16.8 What self-reference does and does not defend	108
16.8.1 A complete index answers every question about its contents	108
16.8.2 What it cannot defend against is being replaced	109
16.8.3 Which is what §2.13 already says	109
16.8.4 And the cost of a fabrication is computable	109
16.8.5 Nothing can be removed, and the floor is derived rather than measured	110
16.8.6 Two closure operators, and the book names one	111
17. Extension — cells, axes, constraints	111
17.1 E1 — which cells may be added	111
17.2 E2 — which axes may be adjoined	111
17.3 E3 — which constraints may be imposed	112
17.4 A worked extension, and what it costs	113
17.5 E is derived	114
18. What the law forbids	114
18.1 An index carries what its coordinates carry, and no more	114
18.1.1 And the product structure is not what does the work	114
18.1.2 Two consequences that run through the whole book	114
18.1.3 What the theorem does not establish	115
18.2 ν is inadmissible as an axis	115
18.3 Depth is not a coordinate function	115
18.4 Closure is not locally determined	115
18.4.1 The law of realised closure	115
18.4.2 The n-body configuration space, indexed — and found already in print	120
18.5 The pole	121
18.6 E(X) is the prediction budget	121
18.6.1 What that means for the five indices this book keeps	121
